Estimates,RSE,Parameters,Model
1.56,10.1,CLcrrt,1
1.56,10.1,CLcrrt,2
1.56,10.1,CLcrrt,3
1.57,9.9,CLcrrt,4
1.56,10.1,CLcrrt,5
1.56,10.1,CLcrrt,6
1.57,9.9,CLcrrt,7
1.56,9.9,CLcrrt,8
1.56,10.2,CLcrrt,9
1.56,10.1,CLcrrt,10
0.621,5.3,CLr,1
0.601,5.7,CLr,2
0.604,5.1,CLr,3
0.616,4.9,CLr,4
0.621,5.2,CLr,5
0.614,5,CLr,6
0.602,5,CLr,7
0.62,5,CLr,8
0.624,5,CLr,9
0.623,5.7,CLr,10
39.1,8.4,V1,1
39.6,8.6,V1,2
39.7,7.8,V1,3
39.4,7.8,V1,4
38.9,7.5,V1,5
39.2,8.6,V1,6
39.7,7.8,V1,7
39.3,8.1,V1,8
39.3,8,V1,9
39,8.7,V1,10
12.2,37.2,Q,1
11.9,38.7,Q,2
12.1,30.5,Q,3
12.3,31.9,Q,4
12.5,32.1,Q,5
12.3,41.3,Q,6
12.1,34,Q,7
12.2,33.2,Q,8
12.2,33,Q,9
12.3,37.8,Q,10
8.39,35.4,V2,1
8.41,36.6,V2,2
8.58,32.8,V2,3
8.53,33.1,V2,4
8.46,32.3,V2,5
8.47,35.9,V2,6
8.43,33.7,V2,7
8.31,34.9,V2,8
8.38,33.5,V2,9
8.5,35.3,V2,10
0.423,47.8,CKDEPI,1
0.553,36.9,CKDEPI,2
0.663,22,CKDEPI,3
0.582,21.5,CKDEPI,4
0.383,54.3,CKDEPI,5
0.553,27.3,CKDEPI,6
0.586,20.8,CKDEPI,7
0.504,25.8,CKDEPI,8
0.503,33.6,CKDEPI,9
0.441,75.1,CKDEPI,10
0.922,22.8,BW,1
0.912,23.4,BW,2
0.887,22.9,BW,3
0.897,22.2,BW,4
0.905,22.5,BW,5
0.919,23.1,BW,6
0.91,22.4,BW,7
0.913,23.1,BW,8
0.89,24.3,BW,9
0.913,23,BW,10
0.282,41.8,IIV_CLcrrt,1
0.28,42.5,IIV_CLcrrt,2
0.284,42.6,IIV_CLcrrt,3
0.278,43.2,IIV_CLcrrt,4
0.282,41.8,IIV_CLcrrt,5
0.285,41.8,IIV_CLcrrt,6
0.28,42.5,IIV_CLcrrt,7
0.278,42.4,IIV_CLcrrt,8
0.282,42.2,IIV_CLcrrt,9
0.283,42,IIV_CLcrrt,10
0.226,19,IIV_CLr,1
0.218,19.6,IIV_CLr,2
0.216,20.1,IIV_CLr,3
0.218,20.3,IIV_CLr,4
0.226,19.6,IIV_CLr,5
0.213,20.5,IIV_CLr,6
0.206,20.8,IIV_CLr,7
0.228,19,IIV_CLr,8
0.221,19.9,IIV_CLr,9
0.219,22.2,IIV_CLr,10
0.306,21.3,IIV_V1,1
0.311,20.9,IIV_V1,2
0.318,20.4,IIV_V1,3
0.318,20.4,IIV_V1,4
0.308,20.8,IIV_V1,5
0.314,21.1,IIV_V1,6
0.313,20.3,IIV_V1,7
0.306,20.8,IIV_V1,8
0.307,20.8,IIV_V1,9
0.309,21.1,IIV_V1,10
0.0279,13.4,PropErr,1
0.0277,13.5,PropErr,2
0.0274,13.6,PropErr,3
0.0274,13.5,PropErr,4
0.028,13.3,PropErr,5
0.0277,13.4,PropErr,6
0.0275,13.4,PropErr,7
0.0277,13.4,PropErr,8
0.0278,13.4,PropErr,9
0.028,13.4,PropErr,10
1.56,10.1,CLcrrt,11
1.56,10.1,CLcrrt,12
1.56,10.2,CLcrrt,13
1.56,10.1,CLcrrt,14
1.55,10.1,CLcrrt,15
1.56,10.1,CLcrrt,16
1.56,10.1,CLcrrt,17
1.56,10.1,CLcrrt,18
1.57,10,CLcrrt,19
1.56,10,CLcrrt,20
0.619,5.1,CLr,11
0.616,5.4,CLr,12
0.618,4.9,CLr,13
0.622,5.1,CLr,14
0.618,5.2,CLr,15
0.614,5.3,CLr,16
0.607,5.3,CLr,17
0.604,4.9,CLr,18
0.62,5.2,CLr,19
0.606,5.1,CLr,20
39.3,7.7,V1,11
39.2,7.6,V1,12
39.6,7.8,V1,13
39,8.4,V1,14
39.1,7.1,V1,15
39.1,8.1,V1,16
39.6,7.7,V1,17
39.7,7.3,V1,18
39.3,8.4,V1,19
39.4,8.2,V1,20
12.2,30.2,Q,11
12.3,29.7,Q,12
12.4,36.6,Q,13
12.3,37.2,Q,14
12.3,26.3,Q,15
12.3,34.7,Q,16
11.9,31.6,Q,17
12,28.2,Q,18
12.3,38.5,Q,19
12,36.6,Q,20
8.5,32.2,V2,11
8.51,31.7,V2,12
8.55,33,V2,13
8.4,36.7,V2,14
8.45,30.2,V2,15
8.55,33.9,V2,16
8.51,32.9,V2,17
8.43,30.7,V2,18
8.54,35,V2,19
8.6,35,V2,20
0.535,29.7,CKDEPI,11
0.462,46.3,CKDEPI,12
0.613,23.8,CKDEPI,13
0.4,50,CKDEPI,14
0.473,40,CKDEPI,15
0.49,38,CKDEPI,16
0.62,26.9,CKDEPI,17
0.593,19.7,CKDEPI,18
0.492,40.7,CKDEPI,19
0.57,28.6,CKDEPI,20
0.932,21.4,BW,11
0.904,22.9,BW,12
0.906,22.8,BW,13
0.9,23.4,BW,14
0.919,21.1,BW,15
0.906,22.5,BW,16
0.905,22.8,BW,17
0.92,21.7,BW,18
0.905,23.3,BW,19
0.927,21.5,BW,20
0.284,41.9,IIV_CLcrrt,11
0.287,41.5,IIV_CLcrrt,12
0.281,42.7,IIV_CLcrrt,13
0.282,41.8,IIV_CLcrrt,14
0.286,41.3,IIV_CLcrrt,15
0.282,42.2,IIV_CLcrrt,16
0.284,42.3,IIV_CLcrrt,17
0.28,42.9,IIV_CLcrrt,18
0.28,42.1,IIV_CLcrrt,19
0.283,42.4,IIV_CLcrrt,20
0.215,20.3,IIV_CLr,11
0.213,20.7,IIV_CLr,12
0.215,20.3,IIV_CLr,13
0.214,20.7,IIV_CLr,14
0.217,20,IIV_CLr,15
0.214,20.5,IIV_CLr,16
