PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
57.8,0,96.8,55.7,1,30
58.1,0,93.7,59.1,2,30
57.6,0.2,100,99.7,6,30
58.9,0.2,93.5,61.2,7,30
57.4,0.3,100,100,13,30
59.1,0.4,93.5,61.2,14,30
59.7,0,95,47.5,1,35
61.4,0,92.6,56.3,2,35
61.2,0,100,99.8,6,35
61.4,0.2,92.5,60.5,7,35
62.4,0.2,100,100,13,35
62,0.3,92.5,60.5,14,35
62.9,0,95.3,42.1,1,40
64.3,0.1,93.6,54.9,2,40
64.8,0.1,100,99.6,6,40
64.8,0,93.1,60.8,7,40
65.9,0,100,100,13,40
64.4,0.1,93.1,61.1,14,40
59.7,0,93.8,38.3,1,45
64.1,0,94,52.8,2,45
65.3,0.3,100,99.8,6,45
64.9,0.1,93.8,58.4,7,45
64.9,0.2,100,100,13,45
65,0.2,93.8,58.6,14,45
59.7,0,92.8,32.7,1,50
66.9,0,93.4,48.3,2,50
66.6,0,100,99.7,6,50
67,0,93.7,57.8,7,50
66.8,0.1,100,100,13,50
66.5,0.1,93.7,57.8,14,50
62.7,0,91.5,29.5,1,55
68.8,0,93.8,50.4,2,55
70.6,0,100,100,6,55
71.6,0,94.2,60.9,7,55
71.2,0.1,100,100,13,55
71.5,0.2,94.2,61,14,55
62.6,0,90.3,26.3,1,60
69.5,0,94.3,45.8,2,60
71.3,0,100,99.8,6,60
70.8,0,94.7,58.8,7,60
71.3,0.2,100,100,13,60
71.9,0.1,94.7,58.9,14,60
62.2,0,89.1,24.8,1,65
70.9,0,93,45.9,2,65
72.6,0.1,100,99.8,6,65
72.7,0.2,94,59.6,7,65
73.2,0.4,100,100,13,65
72.5,0.5,94.1,60.3,14,65
62.6,0,87.6,21.1,1,70
73,0,92.9,41.2,2,70
74.8,0.1,100,99.9,6,70
75.4,0,94.5,58.6,7,70
76.1,0.3,100,100,13,70
74.9,0.5,94.5,59.1,14,70
59.9,0,83.3,20.4,1,75
71.5,0,92.1,40.7,2,75
74.7,0,100,99.7,6,75
75.6,0.1,93.5,61.1,7,75
75.4,0.2,100,100,13,75
74.4,0,93.5,62,14,75
62.9,0,80.3,16.5,1,80
73.1,0,92.1,38.4,2,80
78.9,0.2,100,99.9,6,80
77.9,0.1,94.6,60.3,7,80
77.8,0.3,100,100,13,80
77.9,0.5,94.6,61.7,14,80
60.1,0,80.2,14.9,1,85
73.6,0,92.2,36.9,2,85
77.5,0,100,99.7,6,85
77.1,0,94.4,59.2,7,85
77.8,0.3,100,99.9,13,85
77.6,0.1,94.4,60.1,14,85
61.2,0,78.2,12.8,1,90
75.4,0,90,35.6,2,90
79.3,0,100,100,6,90
79,0,93.8,59.8,7,90
78.9,0.4,100,100,13,90
79.4,0.4,93.8,61.2,14,90
54.8,0,74,9.4,1,95
71.9,0,90,29.3,2,95
78.5,0,100,99.7,6,95
79.5,0,94.9,54.7,7,95
79.3,0.4,100,100,13,95
78.4,0.3,94.9,56.5,14,95
57.3,0,73.8,10.9,1,100
73.9,0,91.3,31.2,2,100
79.2,0.1,100,99.7,6,100
78.6,0,95.1,59.2,7,100
79.8,0.4,100,100,13,100
78.7,0.6,95.1,60.6,14,100
53.9,0,69.3,9.1,1,105
72.3,0,86.4,29.6,2,105
78,0,100,99.8,6,105
77.8,0.1,91.8,56.9,7,105
78.2,0.3,100,100,13,105
79,0.2,91.8,59.3,14,105
54.5,0,68.1,8.8,1,110
72,0,86.8,28.5,2,110
79.8,0,100,99.9,6,110
81,0,92.9,58.5,7,110
80,0.2,100,99.9,13,110
80.6,0.1,92.9,60.7,14,110
53.1,0,67.6,6.8,1,115
73,0,86.7,26,2,115
80.7,0,100,99.6,6,115
80.1,0,94,55.8,7,115
81.7,0.1,100,100,13,115
80.8,0.4,94,58,14,115
53.9,0,65.1,7.7,1,120
74.4,0,86.8,27.1,2,120
81.8,0,100,99.9,6,120
81.8,0,94.1,58.8,7,120
82.6,0.2,100,100,13,120
82.7,0.4,94.2,61.7,14,120
51.2,0,61.2,5.5,1,125
73.5,0,85.4,21.6,2,125
82.2,0,100,99.5,6,125
82.7,0.1,93.5,55.8,7,125
82.3,0.7,100,100,13,125
81.5,0.4,93.6,60,14,125
50.6,0,61.2,5.8,1,130
74.5,0,86,21.6,2,130
83.6,0,100,99.8,6,130
82.7,0,94.2,57.8,7,130
82.6,0.1,100,100,13,130
83.1,0.1,94.5,61.6,14,130
48.8,0,57.4,5.6,1,135
73.7,0,84.3,21.8,2,135
83.2,0,100,99.8,6,135
83.5,0,93.5,56.9,7,135
84.2,0.1,100,100,13,135
83.9,0.1,93.5,61,14,135
45.6,0,57.7,3,1,140
69.7,0,83.1,20.1,2,140
80.9,0,100,99.9,6,140
80.4,0.1,93.6,51.2,7,140
81,0.3,100,100,13,140
81.5,0.1,93.8,55.2,14,140
44.1,0,50.2,4.8,1,145
71.6,0,82.4,18.3,2,145
84.8,0.1,100,99.8,6,145
84.4,0,94.6,54.1,7,145
84.5,0.1,100,100,13,145
84.6,0.2,94.7,59.8,14,145
43.9,0,50.4,3.8,1,150
69.7,0,81.6,18.2,2,150
82.8,0,100,99.9,6,150
82.5,0,93.8,55.7,7,150
83,0,100,100,13,150
83.6,0,94.4,59.5,14,150
