PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
99.582,1.243,99.992,99.006,1,30
96.462,0.935,99.713,93.92,2,30
90.962,1.453,99.998,99.98,6,30
90.796,1.564,98.354,78.4,7,30
90.705,2.054,100,99.996,13,30
90.713,2.077,98.33,77.714,14,30
99.696,0.675,99.988,98.202,1,35
96.999,0.525,99.747,93.355,2,35
91.804,0.897,100,99.974,6,35
91.587,0.956,98.306,77.858,7,35
91.553,1.313,100,99.997,13,35
91.504,1.362,98.27,77.103,14,35
99.736,0.595,99.959,97.226,1,40
97.589,0.583,99.78,93.268,2,40
93.272,1.097,100,99.986,6,40
93.103,1.295,98.423,79.373,7,40
92.943,2.008,100,100,13,40
92.876,1.969,98.383,78.634,14,40
99.692,0.454,99.939,95.986,1,45
97.68,0.468,99.735,92.098,2,45
93.447,1.062,100,99.977,6,45
93.233,1.231,98.244,78.484,7,45
93.14,1.892,100,100,13,45
93.125,1.975,98.2,77.715,14,45
99.741,0.351,99.905,94.296,1,50
98.072,0.348,99.768,91.205,2,50
94.2,0.967,100,99.983,6,50
94.056,1.13,98.341,78.963,7,50
93.807,1.889,100,100,13,50
93.862,1.977,98.29,78.311,14,50
99.7,0.236,99.839,92.411,1,55
98.157,0.3,99.742,89.526,2,55
94.351,0.776,100,99.979,6,55
94.173,0.943,98.286,77.478,7,55
94.017,1.684,100,99.998,13,55
94.074,1.734,98.231,76.769,14,55
99.679,0.185,99.715,90.487,1,60
98.46,0.231,99.734,88.719,2,60
95.244,0.67,100,99.993,6,60
95.11,0.851,98.481,78.473,7,60
94.929,1.511,100,100,13,60
94.917,1.681,98.393,77.989,14,60
99.557,0.173,99.58,88.126,1,65
98.445,0.215,99.618,87.147,2,65
95.368,0.801,100,99.979,6,65
95.217,1.027,98.366,78.219,7,65
95.134,2.048,100,99.999,13,65
95.058,2.19,98.285,77.841,14,65
99.504,0.122,99.451,85.897,1,70
98.596,0.163,99.613,85.696,2,70
95.726,0.682,100,99.986,6,70
95.564,0.869,98.424,78.225,7,70
95.43,1.759,100,99.999,13,70
95.411,1.952,98.35,78.006,14,70
99.391,0.099,99.168,83.242,1,75
98.563,0.134,99.513,83.669,2,75
95.907,0.534,100,99.99,6,75
95.84,0.688,98.393,77.362,7,75
95.655,1.494,100,100,13,75
95.627,1.584,98.311,77.414,14,75
99.233,0.059,98.956,80.949,1,80
98.605,0.07,99.37,82.164,2,80
96.274,0.385,100,99.983,6,80
96.203,0.511,98.44,77.759,7,80
96.018,1.154,100,100,13,80
96.072,1.237,98.36,78.051,14,80
99.118,0.042,98.688,78.022,1,85
98.628,0.071,99.276,80.104,2,85
96.535,0.36,100,99.983,6,85
96.428,0.449,98.454,77.221,7,85
96.266,1.165,100,99.998,13,85
96.229,1.278,98.377,77.842,14,85
98.926,0.048,98.368,75.108,1,90
98.443,0.085,99.107,77.747,2,90
96.465,0.452,100,99.985,6,90
96.271,0.611,98.358,76.192,7,90
96.142,1.458,100,99.999,13,90
96.171,1.548,98.274,77.168,14,90
98.734,0.046,97.998,72.856,1,95
98.637,0.069,98.975,76.912,2,95
97.12,0.413,100,99.983,6,95
97.113,0.541,98.643,77.668,7,95
96.872,1.405,100,100,13,95
96.966,1.522,98.593,79.123,14,95
98.291,0.024,97.422,69.252,1,100
97.988,0.051,98.567,72.465,2,100
95.973,0.265,100,99.975,6,100
95.951,0.379,97.891,72.912,7,100
95.724,1.029,100,99.999,13,100
95.772,1.1,97.82,74.452,14,100
98.208,0.017,97.082,67.066,1,105
98.296,0.044,98.532,72.191,2,105
97.106,0.259,100,99.981,6,105
96.99,0.403,98.435,75.669,7,105
96.905,1.048,100,100,13,105
96.925,1.161,98.421,77.912,14,105
97.907,0.015,96.645,64.37,1,110
98.001,0.026,98.239,69.445,2,110
96.736,0.233,100,99.977,6,110
96.571,0.324,98.175,73.732,7,110
96.537,0.951,100,99.996,13,110
96.581,1.065,98.164,76.154,14,110
97.339,0.009,95.805,61.089,1,115
97.678,0.038,97.744,66.521,2,115
96.5,0.207,100,99.97,6,115
96.457,0.277,97.879,71.285,7,115
96.283,0.905,100,99.999,13,115
96.324,0.994,97.867,74.246,14,115
97.03,0.007,95.091,58.831,1,120
97.449,0.013,97.365,64.759,2,120
96.809,0.164,100,99.978,6,120
