PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
95.793,0.007,92.316,1,5
98.833,0.156,97.938,2,5
99.973,8.101,100,6,5
99.987,11.815,99.982,7,5
99.999,34.696,100,13,5
100,37.97,100,14,5
95.117,0,91.605,1,15
98.616,0.039,97.642,2,15
99.953,2.081,100,6,15
99.97,3.258,99.976,7,15
99.99,11.187,100,13,15
99.987,12.495,99.998,14,15
94.903,0.001,91.73,1,25
98.264,0.019,97.416,2,25
99.843,0.958,100,6,25
99.878,1.435,99.94,7,25
99.901,5.224,100,13,25
99.925,5.798,99.977,14,25
94.071,0,90.706,1,35
97.735,0.006,96.87,2,35
99.615,0.447,100,6,35
99.647,0.698,99.866,7,35
99.71,2.624,100,13,35
99.728,2.975,99.935,14,35
93.787,0,90.822,1,45
97.384,0.006,96.718,2,45
99.26,0.248,99.999,6,45
99.273,0.394,99.765,7,45
99.356,1.445,100,13,45
99.376,1.623,99.846,14,45
93.158,0,90.351,1,55
96.713,0.002,96.315,2,55
98.756,0.132,100,6,55
98.776,0.235,99.582,7,55
98.837,0.845,100,13,55
98.859,0.995,99.689,14,55
92.826,0,90.267,1,65
95.999,0.001,96.009,2,65
97.913,0.101,100,6,65
97.97,0.167,99.206,7,65
98.066,0.583,100,13,65
98.08,0.631,99.357,14,65
92.444,0,90.365,1,75
95.317,0.001,95.756,2,75
97.077,0.048,99.999,6,75
97.12,0.108,98.904,7,75
97.245,0.377,100,13,75
97.272,0.405,99.074,14,75
91.968,0,90.272,1,85
94.478,0,95.531,2,85
95.905,0.037,99.999,6,85
96.008,0.056,98.382,7,85
96.126,0.263,100,13,85
96.15,0.314,98.575,14,85
90.877,0,89.526,1,95
93.344,0.002,94.798,2,95
94.83,0.032,100,6,95
94.955,0.045,97.935,7,95
95.063,0.174,100,13,95
95.107,0.201,98.134,14,95
90.808,0,89.968,1,105
92.615,0.001,94.792,2,105
93.691,0.015,100,6,105
93.756,0.035,97.424,7,105
93.871,0.131,100,13,105
93.96,0.151,97.63,14,105
89.949,0,89.35,1,115
91.377,0.001,94.051,2,115
92.246,0.02,100,6,115
92.338,0.028,96.63,7,115
92.494,0.115,100,13,115
92.527,0.128,96.86,14,115
89.014,0,88.959,1,125
90.025,0,93.36,2,125
90.794,0.012,99.999,6,125
90.733,0.019,95.846,7,125
90.999,0.072,100,13,125
91.083,0.085,96.118,14,125
89.333,0,89.978,1,135
89.362,0,93.701,2,135
89.237,0.005,100,6,135
89.279,0.022,95.227,7,135
89.554,0.057,100,13,135
89.414,0.072,95.453,14,135
86.697,0,87.031,1,145
87.286,0,91.537,2,145
88.045,0.003,100,6,145
88.158,0.01,94.148,7,145
88.564,0.049,100,13,145
88.406,0.054,94.494,14,145
87.297,0,88.904,1,155
86.638,0,92.104,2,155
86.248,0.007,99.999,6,155
86.334,0.009,93.425,7,155
86.528,0.03,100,13,155
86.439,0.033,93.741,14,155
85.545,0,87.557,1,165
84.704,0,90.636,2,165
84.577,0.003,99.999,6,165
84.715,0.009,92.258,7,165
84.848,0.022,100,13,165
85.004,0.034,92.568,14,165
84.492,0,86.747,1,175
83.292,0,89.814,2,175
83.288,0.002,99.999,6,175
83.411,0.005,91.357,7,175
83.645,0.024,100,13,175
83.652,0.026,91.77,14,175
83.956,0,86.758,1,185
82.359,0,89.347,2,185
81.83,0.005,99.999,6,185
81.765,0.003,90.441,7,185
82.051,0.021,100,13,185
82.061,0.021,90.855,14,185
84.007,0,88.094,1,195
81.238,0,89.551,2,195
79.606,0.001,100,6,195
79.816,0.001,89.376,7,195
80.011,0.013,100,13,195
79.98,0.016,89.718,14,195
82.505,0,86.824,1,205
79.365,0,88.136,2,205
77.864,0.003,99.999,6,205
78.001,0.002,88.109,7,205
78.14,0.012,99.999,13,205
78.091,0.015,88.514,14,205
81.403,0,86.437,1,215
77.946,0,87.32,2,215
76.359,0.004,99.997,6,215
76.387,0.004,86.866,7,215
76.837,0.014,100,13,215
76.773,0.013,87.234,14,215
