PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,DAY,CKDEPI
90.485,0,84.118,1,5
97.649,0.034,95.825,2,5
99.957,6.659,100,6,5
99.979,10.21,99.964,7,5
99.999,33.208,100,13,5
100,36.485,99.999,14,5
89.12,0,82.67,1,15
97.024,0.007,95.151,2,15
99.922,1.599,100,6,15
99.948,2.6,99.957,7,15
99.989,10.503,100,13,15
99.988,11.825,99.997,14,15
88.465,0,82.803,1,25
96.343,0.005,94.71,2,25
99.794,0.723,100,6,25
99.845,1.169,99.894,7,25
99.895,4.906,100,13,25
99.916,5.464,99.977,14,25
86.856,0,81.559,1,35
95.448,0,93.879,2,35
99.518,0.354,100,6,35
99.589,0.571,99.816,7,35
99.685,2.447,100,13,35
99.706,2.801,99.934,14,35
86.402,0,81.576,1,45
94.837,0.001,93.468,2,45
99.128,0.188,99.999,6,45
99.18,0.303,99.699,7,45
99.319,1.357,100,13,45
99.324,1.53,99.846,14,45
84.552,0,79.965,1,55
93.633,0,92.71,2,55
98.578,0.105,100,6,55
98.648,0.17,99.488,7,55
98.797,0.775,100,13,55
98.803,0.914,99.681,14,55
83.986,0,80.415,1,65
92.715,0,92.29,2,65
97.668,0.078,100,6,65
97.808,0.132,99.101,7,65
97.992,0.54,100,13,65
98.006,0.583,99.351,14,65
83.418,0,80.308,1,75
91.73,0,92.008,2,75
96.777,0.038,99.999,6,75
96.934,0.083,98.789,7,75
97.154,0.339,100,13,75
97.164,0.366,99.068,14,75
82.088,0,79.828,1,85
90.326,0,91.226,2,85
95.544,0.03,99.999,6,85
95.738,0.043,98.245,7,85
95.984,0.24,100,13,85
96.06,0.286,98.568,14,85
80.279,0,78.675,1,95
88.7,0,90.262,2,95
94.397,0.02,100,6,95
94.614,0.036,97.777,7,95
94.908,0.165,100,13,95
94.987,0.188,98.123,14,95
79.983,0,79.184,1,105
87.717,0,90.184,2,105
93.227,0.009,100,6,105
93.411,0.027,97.249,7,105
93.699,0.119,100,13,105
93.789,0.143,97.62,14,105
78.312,0,78.058,1,115
86.071,0,89.007,2,115
91.725,0.014,100,6,115
91.975,0.016,96.402,7,115
92.332,0.103,100,13,115
92.357,0.119,96.847,14,115
76.759,0,77.485,1,125
84.284,0,88.103,2,125
90.209,0.009,99.999,6,125
90.325,0.013,95.623,7,125
90.802,0.063,100,13,125
90.888,0.078,96.105,14,125
77.215,0,79.169,1,135
83.576,0,88.695,2,135
88.553,0.003,100,6,135
88.749,0.019,95.027,7,135
89.239,0.052,100,13,135
89.102,0.072,95.438,14,135
72.918,0,74.618,1,145
80.773,0,85.263,2,145
87.371,0.003,99.999,6,145
87.711,0.007,93.842,7,145
88.332,0.046,100,13,145
88.188,0.048,94.469,14,145
74.011,0,77.237,1,155
79.955,0,86.257,2,155
85.448,0.005,99.999,6,155
85.769,0.008,93.184,7,155
86.195,0.028,100,13,155
86.145,0.031,93.715,14,155
71.198,0,74.918,1,165
77.793,0,84.224,2,165
83.807,0.001,99.999,6,165
84.171,0.007,91.947,7,165
84.59,0.019,100,13,165
84.747,0.031,92.556,14,165
69.525,0,73.582,1,175
75.967,0,82.883,2,175
82.486,0.001,99.999,6,175
82.9,0.002,91.015,7,175
83.407,0.024,100,13,175
83.427,0.024,91.74,14,175
68.77,0,73.739,1,185
74.717,0,82.347,2,185
81.002,0.004,99.999,6,185
81.24,0.003,90.057,7,185
81.842,0.019,100,13,185
81.882,0.02,90.82,14,185
69.185,0,76.166,1,195
73.683,0,82.926,2,195
78.658,0,100,6,195
79.108,0.001,89.046,7,195
79.553,0.012,100,13,195
79.575,0.014,89.696,14,195
66.834,0,74.129,1,205
71.438,0,81.079,2,205
76.907,0.002,99.999,6,205
77.195,0.001,87.739,7,205
77.711,0.011,99.999,13,205
77.623,0.013,88.477,14,205
65.185,0,73.18,1,215
69.623,0,79.781,2,215
75.331,0.004,99.997,6,215
75.658,0.002,86.467,7,215
76.428,0.013,100,13,215
76.377,0.012,87.2,14,215
