PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,CKDEPI,Regimen
97.78,0,96.05,60.555,1,5,1
99.67,0.095,99.445,86.17,2,5,1
100,13.34,100,100,6,5,1
100,19.165,100,99.765,7,5,1
100,46.435,100,100,13,5,1
100,49.69,100,99.985,14,5,1
97.115,0,95.4,56.68,1,15,1
99.35,0.015,99.25,81.69,2,15,1
99.975,3.645,100,100,6,15,1
99.99,5.495,100,99.145,7,15,1
99.985,15.93,100,100,13,15,1
99.97,17.045,100,99.66,14,15,1
97.11,0,95.84,56.535,1,25,1
99.22,0.015,99.205,79.325,2,25,1
99.795,1.605,100,100,6,25,1
99.845,2.375,99.98,97.185,7,25,1
99.835,6.935,100,100,13,25,1
99.855,7.82,99.98,98.06,14,25,1
96.05,0,94.97,52.39,1,35,1
98.73,0,98.95,74.47,2,35,1
99.545,0.625,100,100,6,35,1
99.585,1.02,99.935,94.4,7,35,1
99.585,3.375,100,100,13,35,1
99.58,3.69,99.94,95.79,14,35,1
95.52,0,94.615,50.645,1,45,1
98.16,0,98.67,70.79,2,45,1
99.03,0.295,100,100,6,45,1
99.13,0.58,99.865,90.435,7,45,1
99.06,1.895,100,100,13,45,1
99.1,2.185,99.885,92.135,14,45,1
94.535,0,94.225,47.68,1,55,1
97.18,0,98.305,66.26,2,55,1
98.165,0.175,100,99.995,6,55,1
98.205,0.295,99.63,86.745,7,55,1
98.255,1.045,100,100,13,55,1
98.27,1.31,99.66,88.49,14,55,1
93.78,0,94.215,46.145,1,65,1
96.465,0,98.255,62.685,2,65,1
97.03,0.115,100,100,6,65,1
97.17,0.22,99.39,82.485,7,65,1
97.165,0.715,100,100,13,65,1
97,0.71,99.395,84.535,14,65,1
93.495,0,94.56,46.855,1,75,1
95.28,0.005,98.155,61.45,2,75,1
95.715,0.05,100,100,6,75,1
95.72,0.12,99.08,79.06,7,75,1
95.82,0.47,100,100,13,75,1
95.805,0.485,99.1,80.845,14,75,1
91.695,0,93.465,41.59,1,85,1
93.845,0,97.385,55.75,2,85,1
94.58,0.065,100,100,6,85,1
94.48,0.065,98.585,74.28,7,85,1
94.475,0.35,100,100,13,85,1
94.625,0.345,98.63,76.475,14,85,1
90.365,0,92.915,40.31,1,95,1
92.34,0,96.92,52.895,2,95,1
93.005,0.04,100,99.965,6,95,1
93.25,0.08,98.21,69.62,7,95,1
93.235,0.22,100,100,13,95,1
93.2,0.28,98.315,71.82,14,95,1
89.805,0,93.17,39.99,1,105,1
90.76,0,96.655,50.3,2,105,1
91.255,0.03,100,99.97,6,105,1
91.5,0.03,97.74,66.09,7,105,1
91.46,0.195,100,100,13,105,1
91.29,0.21,97.81,67.975,14,105,1
88.575,0,92.82,39.695,1,115,1
89.065,0,95.82,48.53,2,115,1
89.35,0.02,100,99.95,6,115,1
89.385,0.05,96.875,62.975,7,115,1
89.595,0.17,100,100,13,115,1
89.53,0.17,96.96,64.995,14,115,1
86.49,0,92.085,36.67,1,125,1
87.215,0,95.065,45.26,2,125,1
87.455,0.015,100,99.955,6,125,1
87.72,0.025,95.995,58.565,7,125,1
87.52,0.105,100,100,13,125,1
87.765,0.075,96.06,60.575,14,125,1
86.345,0,92.545,38.27,1,135,1
85.6,0,94.74,44.24,2,135,1
85.91,0.005,100,99.935,6,135,1
85.65,0.025,95.195,56.25,7,135,1
85.705,0.06,100,100,13,135,1
85.86,0.045,95.31,58.12,14,135,1
85.245,0,93.255,38.845,1,145,1
83.51,0,94.38,42.97,2,145,1
83.09,0.01,100,99.845,6,145,1
82.86,0.01,94.29,52.9,7,145,1
82.96,0.035,100,99.995,13,145,1
83.005,0.045,94.32,54.355,14,145,1
83.125,0,91.805,35.645,1,155,1
81.695,0,93.36,39.74,2,155,1
81.745,0.005,100,99.87,6,155,1
81.735,0,93.655,49.76,7,155,1
82.11,0.075,100,100,13,155,1
81.85,0.055,93.73,51.585,14,155,1
81.655,0,91.28,34.24,1,165,1
79.815,0,92.5,37.085,2,165,1
79.605,0.01,100,99.855,6,165,1
79.695,0.005,92.51,46.91,7,165,1
79.755,0.03,100,99.995,13,165,1
79.695,0.035,92.635,48.645,14,165,1
80.505,0,90.645,31.775,1,175,1
78.775,0,91.985,34.47,2,175,1
78.01,0.005,100,99.77,6,175,1
78.285,0.005,91.905,43.56,7,175,1
78.285,0.025,100,99.99,13,175,1
78.37,0.025,91.97,45.19,14,175,1
79.215,0,90.68,31.75,1,185,1
77.25,0,91.05,33.665,2,185,1
76.77,0,100,99.79,6,185,1
76.28,0.005,90.805,42.25,7,185,1
76.75,0.035,100,99.995,13,185,1
76.75,0.02,90.925,43.855,14,185,1
77.7,0,90.65,31.005,1,195,1
74.45,0,89.965,31.855,2,195,1
73.855,0,100,99.755,6,195,1
73.965,0,89.31,39.46,7,195,1
73.995,0.01,100,99.99,13,195,1
73.935,0.005,89.39,40.895,14,195,1
76.415,0,90.165,30.33,1,205,1
73.35,0,89.075,30.66,2,205,1
72.265,0,100,99.69,6,205,1
72.18,0.005,88.27,37.835,7,205,1
72.265,0.015,100,99.995,13,205,1
72.64,0.01,88.375,39.195,14,205,1
75.06,0,89.93,28.835,1,215,1
71.51,0,88.215,28.46,2,215,1
70.24,0,99.995,99.515,6,215,1
70.315,0,87.1,35.38,7,215,1
70.34,0.015,100,99.97,13,215,1
70.35,0.01,87.175,36.525,14,215,1
97.545,0.01,95.11,58.915,1,5,2
99.465,0.155,98.955,81.7,2,5,2
99.98,9.13,100,100,6,5,2
99.995,13.32,99.99,99.435,7,5,2
100,37.625,100,100,13,5,2
100,41.435,100,99.965,14,5,2
96.935,0,94.325,55.225,1,15,2
99.15,0.03,98.665,77.12,2,15,2
99.985,2.515,100,100,6,15,2
99.99,3.75,99.99,98.115,7,15,2
100,12.815,100,100,13,15,2
99.995,14.055,100,99.6,14,15,2
96.81,0,94.86,56.19,1,25,2
99.085,0.02,98.695,75.26,2,25,2
99.865,0.995,100,100,6,25,2
99.905,1.665,99.975,96.345,7,25,2
99.925,5.58,100,100,13,25,2
99.95,6.195,99.99,98.18,14,25,2
96.505,0,94.575,53.225,1,35,2
98.675,0.005,98.4,71.43,2,35,2
99.74,0.48,100,100,6,35,2
99.665,0.895,99.915,93.335,7,35,2
99.68,2.82,100,100,13,35,2
99.72,3.46,99.94,95.72,14,35,2
95.91,0,93.96,51.51,1,45,2
98.225,0.005,98.105,67.605,2,45,2
99.365,0.26,100,100,6,45,2
99.305,0.405,99.835,89,7,45,2
99.34,1.495,100,100,13,45,2
99.345,1.78,99.85,91.805,14,45,2
95.65,0,94.035,48.845,1,55,2
97.86,0.005,97.905,64.23,2,55,2
98.765,0.17,100,100,6,55,2
98.9,0.245,99.645,85.15,7,55,2
98.825,0.895,100,100,13,55,2
98.86,1.03,99.7,88.31,14,55,2
95.215,0,93.57,48.505,1,65,2
97.3,0,97.96,61.6,2,65,2
98.13,0.105,100,99.995,6,65,2
98.075,0.19,99.4,81.215,7,65,2
98.015,0.59,100,100,13,65,2
97.94,0.68,99.435,84.415,14,65,2
95.105,0,94.125,48.935,1,75,2
96.43,0,97.55,60.505,2,75,2
96.9,0.025,100,100,6,75,2
96.95,0.08,99.025,77.35,7,75,2
96.925,0.385,100,100,13,75,2
96.94,0.465,99.085,80.235,14,75,2
93.755,0,93.19,45.97,1,85,2
95.135,0,96.765,56.055,2,85,2
95.895,0.06,100,100,6,85,2
95.825,0.09,98.395,72.365,7,85,2
95.87,0.285,100,100,13,85,2
95.885,0.34,98.49,75.785,14,85,2
93.56,0,92.83,45.29,1,95,2
94.335,0,96.505,54.125,2,95,2
94.93,0.045,100,99.99,6,95,2
94.83,0.045,98.03,69.27,7,95,2
95.05,0.215,100,100,13,95,2
94.93,0.155,98.11,72.415,14,95,2
92.905,0,92.97,44.22,1,105,2
93.62,0,96.18,51.51,2,105,2
93.61,0.015,100,99.965,6,105,2
93.715,0.04,97.46,64.92,7,105,2
93.655,0.125,100,100,13,105,2
93.65,0.195,97.57,68.08,14,105,2
92.385,0,92.9,43.69,1,115,2
92.705,0,95.84,49.665,2,115,2
91.875,0.03,100,99.98,6,115,2
92.25,0.03,96.8,61.955,7,115,2
92.075,0.1,100,100,13,115,2
92.19,0.12,96.935,64.895,14,115,2
91.09,0,91.985,41.545,1,125,2
90.885,0,95.015,46.555,2,125,2
90.59,0.02,100,99.92,6,125,2
90.625,0.02,95.95,57.475,7,125,2
90.76,0.055,100,99.995,13,125,2
90.795,0.09,96.09,60.71,14,125,2
90.67,0,92.245,40.845,1,135,2
90.05,0,94.61,44.57,2,135,2
89.105,0.015,100,99.94,6,135,2
89.055,0.015,95.315,54.605,7,135,2
