DAY,p10,p25,p50,p75,p90
1,225.6061,297.082,397.2604,521.3353,654.7819
2,259.0078,335.6546,442.66375,576.9069,724.549
3,271.6458,353.6771,470.1514,619.707,788.095
4,281.3646,368.662475,492.615,653.438,838.647
5,280.261,372.198,504.897,680.138,885.817
6,281.062,377.271,518.158,706.215,929.16
7,282.931,379.496,524.388,722.324,961.2
8,289.517,390.176,540.052,745.286,995.376000000001
9,286.491,390.087,546.015,760.327,1022.788
10,286.224,391.6,551.711,773.321,1046.106
11,286.491,393.113000000001,556.606,784.357,1066.22
12,287.203,391.867,555.538,787.739,1078.68
13,293.344,400.411000000001,565.595,799.576,1094.7
14,290.318,395.783,561.856999999999,801,1104.49
