threshold,specificity,sensitivity
Inf,0,1
141.25,0.00556874201205039,0.999102333931777
140.4,0.0112287748767573,0.998206712660977
140.05,0.0173909074310754,0.997322337775997
139.9,0.0907431075406244,0.984651750551073
139.7,0.0948968413364981,0.98372239012281
139.35,0.0982289574584627,0.982774626517751
139.05,0.100830746759175,0.981810504533316
137.15,0.103660763191528,0.980851494542436
134.6,0.106034325360599,0.979882260564446
133.45,0.10918385977725,0.978930407364542
131.15,0.111968230783276,0.977970374974951
127.55,0.114980828920942,0.977015454578915
123.85,0.117308745663685,0.976045198202214
121.75,0.120458280080336,0.975093345002311
121,0.126027022092386,0.973173280223128
120.35,0.128491875114114,0.97220609104256
120.15,0.131595764104437,0.971253215443946
119.9,0.197005660032865,0.94306875017892
119.75,0.199059704217637,0.942092359409953
119.6,0.201068102976082,0.941114946242276
119.3,0.203532955997809,0.940147757061708
119.05,0.205313127624612,0.939165231900476
118.75,0.207047653825087,0.938181684340532
118.35,0.209192988862516,0.937207338368988
117.35,0.210471060799708,0.936213566821935
115.75,0.211703487310571,0.935218772876171
114.9,0.216998356764652,0.932270174993763
114.45,0.218869819244112,0.931289694629953
113.8,0.220056600328647,0.930293878285478
113,0.221973708234435,0.929314420320379
112.2,0.223799525287566,0.928332917557858
111.85,0.225305824356399,0.927344258004359
111.7,0.226675187146248,0.926352531254729
111.45,0.229824721562899,0.924378279343865
111.2,0.231239729779076,0.923387574992945
110.95,0.233202483111192,0.922409139426557
110.2,0.234571845901041,0.921417412676926
109.5,0.235986854117217,0.920426708326006
109.25,0.23776702574402,0.919444183164774
109,0.238816870549571,0.918445299624166
108.7,0.240368815044733,0.917457662469379
108.4,0.246530947599051,0.91452849016248
108.15,0.251917107905788,0.911581937077494
107.95,0.256344714259631,0.908613913619578
107.75,0.258216176739091,0.907633433255767
107.35,0.259357312397298,0.906636594512582
107,0.261228774876757,0.905656114148771
106.8,0.262872010224576,0.904670521791406
106.65,0.264332663867081,0.903680839839197
106.55,0.266249771772868,0.902701381874098
106.45,0.267436552857404,0.901705565529623
106.25,0.268440752236626,0.900705659590304
106.05,0.270129633010772,0.89972108963165
105.95,0.286881504473252,0.889872322848975
105.8,0.288342158115757,0.888882640896766
105.6,0.289711520905605,0.887890914147135
105.35,0.290989592842797,0.886897142600083
105.15,0.295371553770312,0.884950495454415
105.05,0.296969143691802,0.883963880698339
104.9,0.338552127076867,0.859335318150031
104.6,0.339647617308746,0.858337457008134
104.15,0.341016980098594,0.857345730258503
103.85,0.342158115756801,0.856348891515318
103.65,0.34325360598868,0.855351030373421
103.45,0.3445773233522,0.854358281225079
103.2,0.346585722110645,0.852358469346442
102.85,0.347589921489867,0.851358563407123
102.5,0.349187511411357,0.850371948651047
102.25,0.351058973890816,0.848369069576277
102.05,0.35493883512872,0.846411176044789
101.85,0.357631915282089,0.844426700146816
101.65,0.36050757714077,0.842446313843688
101.45,0.361420485667336,0.841444363106947
101.2,0.362333394193902,0.840442412370206
100.9,0.365802446594851,0.83745291853936
100.75,0.367308745663684,0.836464258985862
100.65,0.368404235895563,0.835466397843966
100.55,0.369408435274785,0.834466491904647
100.45,0.370503925506664,0.83346863076275
100.2,0.371599415738543,0.832470769620854
99.8,0.398712798977542,0.813652498946929
99.55,0.400082161767391,0.812660772197298
99.4,0.402364433083805,0.811689493421887
99.25,0.40514880408983,0.810729461032295
99.15,0.406792039437648,0.80974386867493
99.05,0.40939382873836,0.808779746690495
98.95,0.416377578966588,0.802801781427514
98.8,0.422083257257623,0.800884783844464
98.6,0.425324082526931,0.799934975441983
98.25,0.426602154464123,0.79894120389493
97.9,0.439930618951981,0.786970959787014
97.45,0.440843527478547,0.785969009050273
97.05,0.443080153368632,0.783974309165191
96.65,0.450931166697097,0.776993370766758
96.25,0.455313127624612,0.774024324910131
96.15,0.456819426693445,0.773035665356633
96.05,0.458143144056965,0.772042916208291
95.95,0.470604345444586,0.761075645235826
95.85,0.47211064451342,0.760086985682328
95.7,0.474164688698192,0.758088196202402
95.3,0.475488406061713,0.75709544705406
94.85,0.509539894102611,0.730253391296524
94.65,0.510726675187146,0.729257574952049
94.35,0.511457002008399,0.728251534620465
94.05,0.514195727588096,0.727290479832163
93.95,0.520768668979368,0.723348110402702
93.6,0.522366258900858,0.722361495646626
93.2,0.523872557969691,0.721372836093128
93,0.526200474712434,0.720402579716428
92.8,0.527204674091656,0.719402673777109
92.65,0.531312762461201,0.717449892239176
