TIME,median,min,max
0,0,0,0
0.1,1.96,0.71,5.37
0.25,4.81,1.76,12.73
0.5,9.33,3.47,23.73
0.6,11.08,4.15,27.78
1,17.88,6.81,43.09
1.5,22.91,9.31,50.28
2,22.8,9.59,47.91
3,21.92,9.4,44.81
4,21.47,9.3,43.5
6,20.75,9.13,41.61
8,20.06,8.93,39.93
12,18.76,8.49,37.05
18,17.05,7.74,33.56
21,16.28,7.33,32.05
22.5,15.92,7.12,31.32
23.9,15.58,6.92,30.76
24.1,17.55,7.93,35.51
24.25,20.44,9.25,42.25
24.5,24.97,11.17,52.65
24.6,25,11.26,51.61
25,25.08,11.35,50.24
25.5,24.48,11.22,48.09
26,24.14,11.12,47.1
27,23.62,10.98,46.08
28,23.19,10.84,45.3
30,22.43,10.53,43.84
32,21.69,10.2,42.59
36,20.34,9.46,40.21
42,18.59,8.36,37.17
45,17.79,7.8,35.82
46.5,17.41,7.54,35.15
47.9,17.06,7.28,34.62
48.1,19.04,8.49,39.13
48.25,21.92,10.03,45.69
48.5,26.48,12.15,55.8
48.6,26.48,12.24,54.75
49,26.54,12.36,53.49
49.5,25.9,12.2,51.43
50,25.51,12.07,50.58
51,25,11.87,49.6
52,24.57,11.68,48.87
54,23.76,11.25,47.53
56,23.03,10.82,46.34
60,21.66,9.89,44.09
66,19.83,8.55,41.15
69,19,7.91,39.78
70.5,18.61,7.59,39.18
71.9,18.25,7.32,38.58
72.1,20.21,8.72,42.89
72.25,23.1,10.44,49.17
72.5,27.67,12.72,58.92
72.6,27.82,12.91,58.41
73,28.44,13.17,58.91
73.5,27.69,12.97,56.34
74,27.25,12.82,55.15
75,26.63,12.59,53.85
76,26.13,12.32,52.86
78,25.16,11.82,51.12
80,24.28,11.27,49.67
84,22.62,10.11,47.19
90,20.48,8.38,44.02
93,19.54,7.58,42.63
94.5,19.1,7.18,41.99
95.9,18.69,6.81,41.4
96.1,20.66,8.5,45.52
96.25,23.56,10.51,51.49
96.5,28.17,13.02,60.98
96.6,28.35,13.25,60.24
97,29.17,13.59,60.09
97.5,28.35,13.35,57.92
98,27.87,13.15,56.93
99,27.23,12.87,55.94
100,26.68,12.57,55.15
102,25.75,11.93,53.76
104,24.84,11.27,52.41
108,23.24,9.96,50.15
114,21.15,8.06,47.08
117,20.22,7.19,45.69
118.5,19.78,6.78,45.08
119.9,19.37,6.42,44.47
120.1,21.33,8.27,48.43
120.25,24.23,10.43,54.27
120.5,28.86,13.12,63.48
120.6,29.02,13.43,62.77
121,29.88,13.87,62.39
121.5,29.06,13.59,60.32
122,28.56,13.39,59.36
123,27.88,13.05,58.44
124,27.33,12.73,57.79
126,26.34,12.03,56.42
128,25.46,11.33,55.14
132,23.85,9.91,52.92
138,21.75,7.95,49.78
141,20.82,7.06,48.32
142.5,20.35,6.65,47.66
143.9,19.94,6.27,47.09
144.1,21.93,8.2,50.97
144.25,24.83,10.48,56.72
144.5,29.48,13.3,65.76
144.6,29.44,13.42,64.91
145,29.48,13.48,63.59
145.5,28.76,13.22,61.86
146,28.36,13.01,61.19
147,27.77,12.73,60.27
148,27.32,12.46,59.61
150,26.45,11.88,58.37
152,25.63,11.31,57.18
156,24.18,10.18,54.95
162,22.22,8.56,51.96
165,21.32,7.82,50.58
166.5,20.88,7.47,49.84
167.9,20.49,7.16,49.28
168.1,22.52,8.88,53.04
168.25,25.47,10.97,58.69
168.5,30.16,13.69,67.6
168.6,30.36,13.92,66.89
169,31.18,14.29,66.57
169.5,30.35,13.99,64.43
170,29.81,13.79,63.52
171,29.11,13.44,62.6
172,28.57,13.1,61.92
174,27.53,12.4,60.59
