TIME,median,min,max
0,0,0,0
0.1,1.9615,0.70749,5.36800499999999
0.25,4.8073,1.7553,12.735
0.5,9.334,3.4651,23.7280499999999
0.6,11.084,4.1472,27.777
1,17.883,6.8121,43.088
1.5,16.763,6.619095,37.2460499999999
2,16.207,6.5262,35.099
3,15.703,6.4213,33.617
4,15.384,6.3457,32.866
6,14.852,6.2128,31.669
8,14.362,6.0658,30.5310499999999
12,13.432,5.7244,28.632
18,12.209,5.1473,26.175
21,11.666,4.844,25.101
22.5,11.407,4.6938,24.603
23.9,11.169,4.5539,24.195
24.1,13.124,5.5562,29.071
24.25,15.985,6.7908,36.024
24.5,20.529,8.6114,46.565
24.6,20.298,8.5649,45.2870499999999
25,19.605,8.4223,42.317
25.5,19.131,8.294895,40.8040499999999
26,18.853,8.1962,40.1040499999999
27,18.457,8.042,39.362
28,18.154,7.8844,38.787
30,17.606,7.5779,37.645
32,17.052,7.2748,36.712
36,16.059,6.6467,34.805
42,14.72,5.7731,32.313
45,14.095,5.3645,31.201
46.5,13.812,5.1627,30.618
47.9,13.546,4.990295,30.168
48.1,15.495,6.267395,34.8240499999999
48.25,18.361,7.808,41.461
48.5,22.929,9.86359,51.663
48.6,22.672,9.8103,50.3970499999999
49,21.94,9.5981,47.639
49.5,21.43,9.4155,46.1490499999999
50,21.143,9.287295,45.472
51,20.739,9.0461,44.724
52,20.42,8.838,44.103
54,19.807,8.4082,43.081
56,19.249,8.004995,41.983
60,18.166,7.207695,40.105
66,16.7,6.159495,37.504
69,16.018,5.6606,36.311
70.5,15.695,5.4189,35.75
71.9,15.41,5.2021,35.215
72.1,17.351,6.6943,39.627
72.25,20.214,8.4595,45.965
72.5,24.777,10.708,55.846
72.6,24.501,10.642,54.642
73,23.719,10.394,51.727
73.5,23.179,10.165,50.284
74,22.843,9.9916,49.549
75,22.347,9.7092,48.667
76,21.953,9.4186,47.974
78,21.182,8.927395,46.74
80,20.467,8.4119,45.654
84,19.147,7.41299,43.636
90,17.439,5.9904,40.934
93,16.665,5.348495,39.7040499999999
94.5,16.31,5.0195,39.117
95.9,15.979,4.737995,38.558
96.1,17.925,6.584795,42.755
96.25,20.793,8.619495,48.8310499999999
96.5,25.42,11.112,58.36
96.6,25.105,10.994,57.341
97,24.293,10.701,54.657
97.5,23.735,10.389,53.4290499999999
98,23.406,10.166,52.718
99,22.946,9.806995,51.966
100,22.561,9.4579,51.418
102,21.854,8.7959,50.259
104,21.197,8.1717,49.171
108,19.957,7.002095,47.191
114,18.308,5.443295,44.432
117,17.539,4.7631,43.189
118.5,17.192,4.45599,42.602
119.9,16.852,4.173295,42.049
120.1,18.78,6.2712,46.0630499999999
120.25,21.627,8.5275,51.9870499999999
120.5,26.249,11.225,61.331
120.6,25.928,11.125,60.2210499999999
121,25.119,10.76,57.7560999999999
121.5,24.565,10.436,56.4840499999999
122,24.231,10.182,55.756
123,23.783,9.7558,55.073
124,23.383,9.397095,54.523
126,22.689,8.6698,53.364
128,22.033,8.003,52.289
132,20.776,6.7676,50.284
138,19.1125,5.187695,47.421
141,18.333,4.5135,46.088
142.5,17.9625,4.218195,45.493
